platform_id,video_id,watch_count,total_time_watched,price_per_watch
161,1150,1499,88441,0.25
63,577,269168,11574224,0.28
159,605,1510,58890,0.39
31,130,112705,2592215,0.35
151,1861,690431,22784223,0.18
138,763,563732,14657032,0.29
20,1329,952263,33329205,0.47
107,1399,249869,6246725,0.34
94,154,816979,24509370,0.3
160,278,1998,31968,0.26
134,1320,719106,6471954,0.41
159,381,1506,43674,0.17
125,1346,363774,2546418,0.44
36,1564,40041,1241271,0.32
159,520,1514,52990,0.39
161,1337,1501,40527,0.15
118,678,115270,3342830,0.16
103,718,983265,54079575,0.31
113,139,605376,30874176,0.5
138,1418,86030,688240,0.44
20,425,989974,12869662,0.23
41,871,377047,3393423,0.43
158,598,1495,43355,0.26
59,96,555736,11114720,0.33
162,1249,1499,61459,0.44
155,424,616902,4935216,0.29
144,754,607481,12149620,0.12
39,1179,63987,1919610,0.45
49,408,909400,50017000,0.4
45,204,271939,4079085,0.19
160,400,2004,14028,0.19
140,798,586286,17002294,0.45
67,299,794503,16684563,0.37
76,1951,706000,33888000,0.24
116,781,527764,15832920,0.26
66,1053,740843,41487208,0.24
58,388,806578,6452624,0.13
98,635,411608,10290200,0.17
162,1925,1504,45120,0.46
161,1759,1505,21070,0.26
160,1810,2000,70000,0.42
116,616,512873,2564365,0.41
108,1081,692962,20788860,0.28
160,1116,2002,112112,0.4
158,154,1499,44970,0.22
48,764,541804,18963140,0.45
159,858,1508,12064,0.16
1,251,285143,13686864,0.2
53,1745,258097,14195335,0.3
108,875,575683,28784150,0.1
162,821,1502,22530,0.48
6,333,654025,5232200,0.42
103,977,705232,35261600,0.13
116,1436,260034,6240816,0.26
161,770,1507,72336,0.42
15,1582,302563,8471764,0.49
55,877,175853,2110236,0.33
67,451,460676,12438252,0.49
160,775,1999,29985,0.29
63,1503,700595,8407140,0.2
158,1279,1501,88559,0.44
154,536,198798,7355526,0.2
86,1257,719100,28044900,0.34
10,1338,141595,7929320,0.42
159,1719,1512,28728,0.21
52,121,673833,10781328,0.21
132,680,567650,31220750,0.13
152,1252,674774,6747740,0.13
162,1685,1497,44910,0.24
120,1373,771797,20066722,0.22
84,841,976729,31255328,0.3
33,1365,466466,15393378,0.25
159,1458,1513,43877,0.5
162,1591,1500,12000,0.25
88,664,338963,11524742,0.2
162,46,1499,64457,0.36
160,1196,1996,41916,0.18
53,1671,960921,33632235,0.22
69,1288,943376,34904912,0.46
28,640,525227,15231583,0.37
124,1467,397899,21486546,0.2
101,368,227279,11363950,0.48
114,1966,205312,5748736,0.26
17,399,80416,2010400,0.28
107,922,395840,11875200,0.37
160,595,2006,72216,0.27
22,772,691834,20755020,0.11
145,1859,202750,1013750,0.38
100,1155,747883,17949192,0.22
94,1556,465410,20943450,0.13
147,1396,910299,40963455,0.12
14,688,73391,1981557,0.21
54,620,748515,33683175,0.12
1,1411,802696,30502448,0.26
159,1053,1509,84504,0.5
160,1019,2005,76190,0.47
160,1908,2006,84252,0.32
162,286,1500,28500,0.39
97,564,90056,5043136,0.19
55,1604,43770,919170,0.27
159,1650,1507,15070,0.48
162,71,1502,21028,0.24
159,285,1510,72480,0.15
146,522,335781,8058744,0.31
119,244,833679,48353382,0.15
59,464,819393,7374537,0.46
81,970,61336,2882792,0.13
162,1620,1500,30000,0.34
80,544,585575,19909550,0.35
93,376,868543,17370860,0.42
3,279,385676,8099196,0.15
161,516,1501,7505,0.11
158,895,1499,86942,0.28
161,1923,1501,60040,0.12
121,554,58837,294185,0.28
159,558,1509,40743,0.41
161,1911,1500,63000,0.16
50,1014,3465,200970,0.12
64,761,684851,11642467,0.19
19,1402,80478,3299598,0.49
74,1062,420336,17233776,0.17
45,1999,775240,20156240,0.13
159,1228,1508,34684,0.32
143,1686,718562,27305356,0.34
91,1279,676394,39907246,0.44
161,1150,1498,88382,0.21
4,1623,709178,31913010,0.34
141,504,400443,8409303,0.2
26,224,421829,19404134,0.42
158,1233,1503,49599,0.12
82,1201,314091,7224093,0.29
161,737,1504,49632,0.19
8,1496,934799,30848367,0.42
160,1717,2000,80000,0.49
160,1999,2004,52104,0.24
1,901,174829,2272777,0.45
16,1598,893624,4468120,0.28
162,1432,1504,31584,0.28
78,690,322349,4512886,0.12
6,250,708875,8506500,0.41
121,1415,830557,9136127,0.3
66,1909,285379,10273644,0.18
159,417,1506,9036,0.46
43,1455,91565,1922865,0.5
158,1086,1497,89820,0.37
161,146,1498,67410,0.29
159,1945,1512,84672,0.19
104,91,553695,30453225,0.39
162,289,1497,40419,0.29
161,1994,1499,65956,0.27
28,1938,993452,28810108,0.46
30,1357,90443,2351518,0.38
49,1328,48417,1355676,0.18
161,450,1500,45000,0.18
75,1676,492237,18212769,0.46
21,860,970832,20387472,0.43
102,2,550757,28639364,0.37
161,98,1502,28538,0.26
162,1952,1502,15020,0.15
93,1069,323156,3877872,0.47
114,1007,48562,2428100,0.15
78,240,899275,15287675,0.24
161,939,1499,56962,0.11
129,1541,523816,4714344,0.21
44,1214,987696,27655488,0.22
81,1605,949073,45555504,0.49
160,314,1998,35964,0.11
13,1004,283213,2265704,0.38
113,1217,492619,14285951,0.27
110,1618,987795,10865745,0.4
158,1103,1505,40635,0.39
161,756,1497,62874,0.43
81,429,711363,34145424,0.12
54,1131,659095,14500090,0.13
97,522,874434,20986416,0.45
150,1212,643208,18653032,0.42
159,1936,1506,75300,0.4
107,662,437508,24937956,0.34
160,1421,2000,70000,0.27
20,520,458174,16036090,0.27
19,702,102545,5845065,0.34
120,633,692120,8997560,0.47
158,1072,1499,73451,0.36
151,1624,145106,1160848,0.29
158,1904,1503,43587,0.37
6,1343,429304,10303296,0.38
162,93,1499,26982,0.19
11,469,877962,25460898,0.33
160,453,2005,40100,0.13
159,1542,1510,15100,0.33
94,1993,524027,28297458,0.43
78,988,823478,24704340,0.39
132,733,409517,2866619,0.13
22,174,159527,3669121,0.31
112,1663,422907,4229070,0.23
45,1556,112350,5055750,0.42
128,339,304207,7300968,0.25
51,1020,347385,5210775,0.16
153,1686,635193,24137334,0.25
49,852,397085,11515465,0.16
57,278,518437,8294992,0.24
71,21,683989,28727538,0.33
157,1946,89828,2335528,0.28
56,359,17314,519420,0.23
160,154,1999,59970,0.29
19,16,475052,4275468,0.4
161,1899,1502,79606,0.13
109,1253,899717,7197736,0.16
2,1462,696152,35503752,0.48
158,71,1498,20972,0.28
140,1604,329619,6921999,0.42
130,570,621177,9938832,0.14
9,835,576619,24794617,0.35
98,313,566111,3396666,0.24
88,393,548808,7683312,0.43
142,511,368990,15497580,0.31
162,153,1499,58461,0.44
161,1776,1500,37500,0.48
158,104,1503,12024,0.46
33,1513,363859,16373655,0.22
120,1266,659051,27680142,0.26
107,857,312525,2500200,0.26
162,1266,1503,63126,0.46
136,145,540090,28624770,0.19
159,235,1503,7515,0.36
145,1306,684724,17118100,0.42
18,1350,531978,8511648,0.41
87,1461,869871,23486517,0.25
29,1536,791343,22157604,0.42
111,1925,597746,17932380,0.32
4,712,392683,4319513,0.27
21,1922,14302,629288,0.31
48,938,692815,30483860,0.13
158,900,1498,37450,0.2
112,1880,52007,676091,0.3
119,1650,675550,6755500,0.35
162,856,1501,43529,0.43
157,1622,307082,7062886,0.32
2,79,193322,5219694,0.11
159,1453,1513,87754,0.43
134,1434,688691,20660730,0.5
161,242,1497,13473,0.16
149,1957,927993,43615671,0.2
159,1746,1508,51272,0.33
77,82,686889,17859114,0.12
161,1638,1496,88264,0.32
98,1312,615832,18474960,0.2
23,1093,423636,4236360,0.41
39,680,241005,13255275,0.45
158,1864,1498,32956,0.23
129,775,759161,11387415,0.46
162,1729,1496,20944,0.17
2,1826,197840,4550320,0.17
63,569,372901,22374060,0.2
121,1766,158164,1739804,0.41
4,1640,836926,9206186,0.41
158,1166,1501,75050,0.32
16,1257,176080,6867120,0.26
36,709,847954,24590666,0.49
162,1123,1500,61500,0.43
55,682,601418,12629778,0.37
55,1489,418492,11299284,0.22
92,1610,433952,21263648,0.34
107,385,326695,1960170,0.15
159,1300,1517,43993,0.19
161,1664,1501,45030,0.36
18,711,898287,47609211,0.16
162,380,1498,61418,0.46
144,1098,83275,4663400,0.43
158,1743,1507,54252,0.24
158,421,1502,43558,0.11
161,670,1500,31500,0.41
160,785,2002,76076,0.31
162,144,1500,61500,0.22
158,950,1497,83832,0.14
91,1012,266228,3194736,0.31
160,1568,2001,54027,0.34
66,1066,764445,22933350,0.19
158,648,1499,38974,0.15
128,1332,7066,176650,0.15
126,1970,4787,220202,0.28
77,1576,779681,21831068,0.24
124,1882,385149,10399023,0.35
162,494,1505,63210,0.38
160,1826,2004,46092,0.33
159,60,1510,40770,0.12
101,1978,210166,5464316,0.49
161,363,1495,16445,0.22
162,1246,1502,87116,0.2
70,410,234336,11013792,0.3
75,1649,68852,1859004,0.38
159,1285,1506,39156,0.2
160,1270,1995,35910,0.25
60,721,98534,3547224,0.43
23,447,289825,7535450,0.16
94,1960,396113,3961130,0.46
159,562,1508,27144,0.14
129,1735,821456,31215328,0.22
159,1872,1510,90600,0.42
161,1502,1500,24000,0.22
161,1181,1504,36096,0.33
94,1641,629230,23281510,0.47
162,1891,1498,22470,0.19
161,186,1504,10528,0.15
65,1482,354696,15251928,0.31
142,384,203181,11174955,0.25
145,697,506393,28864401,0.39
162,150,1498,76398,0.13
141,1483,681921,34096050,0.31
158,1654,1503,34569,0.17
120,1232,751744,23304064,0.37
158,523,1500,30000,0.32
116,299,706069,14827449,0.25
161,323,1498,68908,0.1
18,1411,762934,28991492,0.45
159,292,1508,73892,0.39
125,1680,60837,2555154,0.11
33,959,942037,32029258,0.42
80,464,129147,1162323,0.35
36,415,570753,12556566,0.49
14,391,116155,1858480,0.15
92,835,926389,39834727,0.18
158,1984,1504,45120,0.41
158,1218,1501,21014,0.48
160,1834,1996,51896,0.21
4,1311,2279,25069,0.49
161,260,1502,70594,0.35
160,1393,2000,50000,0.27
159,299,1505,31605,0.3
139,1231,530606,15387574,0.26
60,581,709878,38333412,0.27
158,531,1498,46438,0.16
80,504,76686,1610406,0.31
162,1812,1501,33022,0.11
63,244,971074,56322292,0.29
70,199,208820,11485100,0.29
69,1655,888544,22213600,0.22
161,390,1503,54108,0.41
139,1170,653012,10448192,0.11
160,789,2001,56028,0.29
139,409,68726,1168342,0.38
92,175,52110,990090,0.19
81,1823,376086,16171698,0.13
159,1302,1509,60360,0.25
33,531,741915,22999365,0.32
92,1486,958096,48862896,0.11
161,1185,1499,76449,0.29
111,894,658615,31613520,0.4
115,1349,429947,9458834,0.28
57,518,722939,20965231,0.29
70,84,16519,495570,0.42
147,121,631838,10109408,0.48
160,936,2000,120000,0.26
161,948,1503,84168,0.38
3,204,98043,1470645,0.23
30,6,608676,17651604,0.4
87,1760,107480,3976760,0.35
35,959,410643,13961862,0.2
70,1399,182525,4563125,0.32
67,1176,538472,19384992,0.11
32,1906,303537,15176850,0.19
156,919,718845,33785715,0.45
143,1240,618365,21642775,0.32
8,1582,436132,12211696,0.43
78,751,436943,4806373,0.26
145,264,601234,10822212,0.15
32,670,323186,6786906,0.25
114,1385,795224,23061496,0.3
33,212,279121,3907694,0.14
159,61,1508,43732,0.3
98,994,366810,10637490,0.39
158,1703,1496,37400,0.36
159,251,1513,72624,0.38
152,1226,812691,43072623,0.25
158,1211,1494,34362,0.44
161,824,1501,55537,0.5
75,344,105571,3061559,0.42
34,1121,4484,80712,0.49
85,1804,520826,22395518,0.21
69,140,511840,20985440,0.42
158,141,1502,72096,0.4
122,899,513866,12332784,0.47
44,706,768204,33800976,0.18
143,200,995398,46783706,0.26
103,1605,610169,29288112,0.23
72,176,813298,20332450,0.35
109,1390,784909,19622725,0.29
103,1343,830481,19931544,0.28
162,1879,1501,18012,0.46
149,819,148449,4898817,0.21
159,1019,1515,57570,0.22
162,1583,1500,54000,0.25
31,502,944185,34934845,0.39
158,158,1500,67500,0.21
19,996,367525,10658225,0.17
23,1167,547925,10958500,0.46
162,758,1506,73794,0.31
161,615,1499,11992,0.28
159,1603,1506,40662,0.28
122,1165,669715,11385155,0.36
100,1599,499625,25480875,0.31
34,66,19391,601121,0.1
120,350,507660,11168520,0.39
99,409,743350,12636950,0.44
51,348,858582,18030222,0.11
161,421,1503,43587,0.45
161,890,1495,68770,0.22
120,38,75254,1580334,0.2
159,926,1510,70970,0.26
43,1221,162631,4391037,0.5
47,980,560688,17381328,0.43
38,860,304281,6389901,0.25
49,1575,702152,10532280,0.46
159,1455,1510,31710,0.13
80,1950,843947,23630516,0.39
157,1045,156728,3604744,0.22
159,762,1516,33352,0.25
160,205,1996,29940,0.14
32,1029,726746,41424522,0.38
49,1335,990794,17834292,0.33
125,1112,187745,9762740,0.12
158,1131,1498,32956,0.3
147,1005,161075,9342350,0.34
14,1882,283293,7648911,0.29
159,72,1512,12096,0.16
150,1117,924260,41591700,0.48
161,483,1501,66044,0.27
43,1453,559372,32443576,0.24
161,317,1498,32956,0.47
123,1363,246923,6419998,0.16
90,1938,935194,27120626,0.22
161,1152,1502,81108,0.41
159,301,1512,31752,0.19
159,1638,1513,89267,0.43
160,1366,2004,58116,0.36
3,1518,349422,9783816,0.22
13,368,73058,3652900,0.46
64,1524,295921,6806183,0.33
144,516,433406,2167030,0.42
1,1615,950944,46596256,0.43
63,832,478839,4788390,0.41
9,145,722864,38311792,0.2
129,754,797560,15951200,0.44
39,674,358077,16829619,0.28
24,1320,212985,1916865,0.13
71,959,961679,32697086,0.13
19,1375,663599,18580772,0.3
39,347,490437,9318303,0.43
159,895,1507,87406,0.47
3,1728,489251,23973299,0.34
87,71,900910,12612740,0.42
143,727,488684,16126572,0.46
24,1444,818842,25384102,0.17
105,1193,445042,24032268,0.18
159,1342,1512,30240,0.2
117,1750,275963,5795223,0.36
158,1345,1501,60040,0.43
90,326,694590,41675400,0.45
158,380,1501,61541,0.39
69,1186,682202,17055050,0.45
19,1446,825070,49504200,0.1
96,359,286972,8609160,0.1
102,835,226280,9730040,0.28
123,1941,41722,2127822,0.5
27,400,526561,3685927,0.27
45,1721,650577,29926542,0.28
37,689,73407,4110792,0.39
60,27,21053,105265,0.13
162,1057,1495,85215,0.18
162,1972,1502,33044,0.38
153,1355,557282,16161178,0.3
144,262,198647,3575646,0.16
149,1099,540630,21084570,0.37
104,904,988331,28661599,0.46
66,145,710638,37663814,0.49
40,1766,722373,7946103,0.37
62,416,779029,7011261,0.17
160,1817,2000,106000,0.26
143,538,75718,2650130,0.42
5,231,69260,1662240,0.18
67,625,378339,8323458,0.28
160,284,1996,83832,0.21
160,1425,2002,56056,0.17
159,1647,1513,21182,0.45
159,1854,1517,78884,0.3
100,1463,360123,7562583,0.1
15,1523,605129,4235903,0.15
162,1334,1497,38922,0.47
120,315,28371,1532034,0.23
159,7,1512,18144,0.17
161,1743,1500,54000,0.38
43,1800,596566,21476376,0.26
80,1708,507509,26897977,0.45
3,1661,258827,7247156,0.13
86,1455,625190,13128990,0.28
93,888,242024,12343224,0.35
3,1499,812109,43853886,0.45
160,828,2001,56028,0.1
59,1948,736123,8097353,0.29
161,1853,1504,18048,0.44
67,1729,349803,4897242,0.39
35,920,697438,39753966,0.1
14,412,497257,6961598,0.37
63,1335,52306,941508,0.49
69,1347,214764,5583864,0.11
158,186,1500,10500,0.16
60,1071,761572,15231440,0.38
98,1139,529237,24344902,0.14
162,1346,1501,10507,0.25
125,1890,581698,33738484,0.19
160,1452,1997,55916,0.29
72,1651,931772,29816704,0.49
62,1026,658786,16469650,0.32
159,1108,1507,10549,0.3
57,441,107175,643050,0.12
107,984,424243,8060617,0.23
69,118,438548,19734660,0.29
127,277,544780,29418120,0.32
53,554,775324,3876620,0.16
69,1327,762420,21347760,0.47
158,1415,1497,16467,0.24
159,1447,1516,57608,0.35
28,887,233524,14011440,0.33
162,1105,1502,60080,0.3
161,583,1501,22515,0.26
159,1861,1505,49665,0.4
91,952,521711,4173688,0.34
159,1041,1515,10605,0.13
119,1157,116672,3150144,0.39
158,818,1498,82390,0.37
108,349,99155,1784790,0.47
51,1402,215267,8825947,0.11
14,901,797153,10362989,0.25
58,1950,685973,19207244,0.12
85,1893,277893,2223144,0.43
161,702,1509,86013,0.28
106,1752,598992,7187904,0.44
160,1791,2000,84000,0.46
122,905,59635,417445,0.18
22,1994,921432,40543008,0.31
113,1334,211025,5486650,0.41
85,1140,108802,1632030,0.11
162,459,1501,40527,0.22
158,395,1499,14990,0.44
159,344,1515,43935,0.19
103,1753,854631,19656513,0.44
161,1114,1498,25466,0.23
152,1539,981763,58905780,0.47
162,1225,1500,48000,0.31
158,1942,1499,13491,0.37
17,1687,539019,5929209,0.45
28,1462,45802,2335902,0.1
51,1345,753621,30144840,0.12
142,393,558768,7822752,0.34
40,1282,275046,9626610,0.47
151,1425,294835,8255380,0.15
109,1634,36515,219090,0.34
16,204,721732,10825980,0.12
79,1790,864121,25923630,0.32
136,29,537410,9673380,0.43
162,1646,1503,70641,0.49
162,157,1502,61582,0.22
59,1335,914017,16452306,0.36
149,428,512218,8707706,0.43
158,1367,1505,36120,0.1
158,1506,1500,78000,0.36
158,1827,1497,31437,0.27
161,420,1497,14970,0.34
20,57,575952,33981168,0.14
141,1632,148259,1927367,0.49
82,297,466887,14940384,0.49
158,1981,1495,56810,0.23
11,1305,57939,2433438,0.15
59,1594,22001,1232056,0.26
161,1575,1500,22500,0.27
149,293,500669,16522077,0.49
89,1192,863634,22454484,0.25
140,1910,50978,2141076,0.46
28,398,416295,13737735,0.15
23,56,257877,7736310,0.12
158,1620,1497,29940,0.36
88,1556,32979,1484055,0.49
1,296,392615,18845520,0.13
57,1064,521151,3648057,0.31
162,1,1501,90060,0.47
73,759,367913,17659824,0.17
80,337,70625,2613125,0.48
158,498,1498,28462,0.42
158,383,1499,62958,0.45
162,819,1499,49467,0.26
160,1297,1998,53946,0.26
159,694,1509,52815,0.48
118,745,657329,5915961,0.22
93,1295,248223,13404042,0.35
79,81,208912,2089120,0.36
153,1653,601701,4813608,0.14
111,191,904099,22602475,0.24
135,1556,290435,13069575,0.16
101,434,636254,19723874,0.2
19,1683,270040,11611720,0.19
159,1239,1509,90540,0.35
162,433,1502,42056,0.24
127,31,705269,13400111,0.2
51,691,699579,11193264,0.34
161,1240,1503,52605,0.19
7,796,591313,2956565,0.43
109,351,580218,24949374,0.35
72,655,1294,32350,0.29
25,874,358159,6088703,0.34
159,1429,1508,18096,0.28
128,1212,292054,8469566,0.35
52,1122,33156,1525176,0.37
102,1081,904250,27127500,0.42
12,812,6935,194180,0.42
161,1202,1500,78000,0.48
133,794,8137,268521,0.5
56,465,843369,24457701,0.4
103,535,235109,11755450,0.24
160,1264,1996,55888,0.24
118,107,238001,3332014,0.21
160,177,2000,66000,0.15
75,958,250321,11765087,0.31
144,1823,376810,16202830,0.2
159,793,1513,15130,0.36
128,1430,999553,27987484,0.48
159,1613,1513,22695,0.5
159,1541,1510,13590,0.5
94,1274,635458,6990038,0.28
118,1521,192762,9445338,0.26
136,1589,729609,33562014,0.33
114,1570,568532,17055960,0.45
159,1076,1512,45360,0.49
160,1301,2002,36036,0.3
65,115,916059,28397829,0.22
162,470,1503,85671,0.4
105,1425,819260,22939280,0.44
132,683,107741,1400633,0.15
161,1160,1500,55500,0.29
69,1819,564830,31065650,0.11
37,1588,425009,12325261,0.33
160,343,2003,108162,0.42
159,1336,1507,90420,0.41
37,1701,375451,10512628,0.17
161,1560,1505,73745,0.19
160,1948,2007,22077,0.33
162,176,1499,37475,0.23
159,1668,1506,63252,0.36
149,1858,719429,11510864,0.21
79,1015,925178,27755340,0.13
14,1526,334728,16401672,0.31
99,1544,43723,1224244,0.11
161,1143,1500,70500,0.26
117,1627,829634,22400118,0.15
160,1978,2001,52026,0.31
135,123,662454,23185890,0.49
126,705,932951,19591971,0.48
104,714,307093,9212790,0.42
162,405,1501,54036,0.11
54,183,486462,27728334,0.26
41,789,478960,13410880,0.24
157,784,840183,31086771,0.43
21,1782,232254,10219176,0.4
39,1712,411576,4938912,0.21
31,52,454270,19079340,0.43
154,1920,520997,19276889,0.46
106,1767,952434,38097360,0.44
155,1573,149430,1494300,0.34
137,1965,60240,1325280,0.45
161,195,1498,71904,0.37
96,1508,557834,3904838,0.37
159,1961,1512,16632,0.34
161,733,1501,10507,0.42
1,561,190933,9737583,0.2
40,502,235169,8701253,0.47
37,983,101040,1515600,0.47
64,189,343216,7550752,0.19
158,469,1498,43442,0.31
140,859,727441,26915317,0.12
90,1850,618136,35233752,0.29
53,276,246874,6171850,0.33
24,20,271297,5968534,0.12
132,995,306171,6735762,0.48
143,1285,470558,12234508,0.5
7,1710,486201,24310050,0.17
161,125,1502,42056,0.31
161,238,1501,81054,0.41
161,1530,1497,82335,0.2
49,1094,568261,30117833,0.21
136,1659,196263,5887890,0.18
100,1543,531626,15417154,0.24
5,1210,108878,3266340,0.35
90,617,858569,37777036,0.26
162,1493,1501,45030,0.41
59,124,241140,5063940,0.35
75,928,355623,4978722,0.35
159,343,1510,81540,0.24
0,1455,164131,3446751,0.31
92,205,550328,8254920,0.18
53,1082,174601,2269813,0.13
64,838,848072,49188176,0.41
131,426,141482,2263712,0.35
161,451,1501,40527,0.19
60,753,687538,19938602,0.31
91,1979,830506,12457590,0.27
159,277,1510,81540,0.12
156,698,360931,7579551,0.44
54,26,33819,1318941,0.2
57,1152,867108,46823832,0.48
117,1075,461881,24479693,0.4
133,488,36894,2139852,0.12
31,1825,691230,21428130,0.11
67,50,510085,29074845,0.28
28,801,65463,785556,0.33
162,1336,1494,89640,0.14
22,901,331370,4307810,0.18
93,120,841409,32814951,0.33
161,3,1502,34546,0.31
59,1389,388271,3106168,0.46
11,1831,856785,41125680,0.46
18,880,654654,38624586,0.24
162,220,1502,39052,0.32
72,1668,430073,18063066,0.44
81,1815,210949,12235042,0.2
6,1082,831749,10812737,0.16
78,1741,738449,35445552,0.36
156,1469,957912,18200328,0.19
158,654,1495,70265,0.49
31,1150,455441,26871019,0.25
8,77,912107,49253778,0.35
161,1462,1499,76449,0.21
162,209,1499,64457,0.16
160,667,2005,104260,0.36
35,1849,535095,20868705,0.25
151,1589,774168,35611728,0.3
159,540,1510,19630,0.25
71,658,507340,5073400,0.29
71,1668,824403,34624926,0.23
160,1984,2001,60030,0.37
159,448,1513,55981,0.39
110,1074,816081,11425134,0.39
160,1269,1999,23988,0.11
116,281,925670,13885050,0.2
158,91,1493,82115,0.39
0,205,988455,14826825,0.22
19,879,534658,9089186,0.3
48,434,927453,28751043,0.37
45,1157,919231,24819237,0.31
18,49,283821,7095525,0.19
160,1208,1998,43956,0.46
51,443,739135,19217510,0.19
159,317,1507,33154,0.41
147,197,52295,1359670,0.15
22,1075,112724,5974372,0.1
118,1407,406072,20303600,0.22
162,525,1500,22500,0.32
159,156,1518,27324,0.12
161,347,1499,28481,0.16
145,1839,304336,4869376,0.13
43,1660,707644,4953508,0.4
24,1535,41475,2447025,0.22
158,1868,1498,44940,0.26
148,1977,348211,5919587,0.48
161,1638,1504,88736,0.44
78,1346,678788,4751516,0.29
121,1800,743313,26759268,0.34
11,754,142399,2847980,0.29
9,1944,981246,24531150,0.2
160,568,1997,51922,0.35
139,1534,903482,52401956,0.25
101,706,710929,31280876,0.18
161,994,1504,43616,0.17
158,451,1500,40500,0.45
144,1678,553055,16591650,0.31
161,551,1498,61418,0.47
21,206,608984,3653904,0.32
159,1756,1508,66352,0.43
104,1282,5374,188090,0.45
80,106,538652,7541128,0.22
72,965,325244,16587444,0.32
25,1304,645861,34230633,0.4
159,1249,1513,62033,0.4
82,1931,993011,32769363,0.23
103,714,988311,29649330,0.2
42,1358,665173,16629325,0.33
158,165,1501,79553,0.39
57,1713,577104,24238368,0.25
40,1140,450663,6759945,0.28
17,1870,975660,8780940,0.41
159,302,1513,62033,0.41
160,783,2001,90045,0.42
112,1016,973366,31147712,0.4
160,834,2002,84084,0.23
140,1509,824211,23077908,0.24
42,1734,685742,19886518,0.29
38,824,100001,3700037,0.45
50,1318,265663,10892183,0.31
119,8,224785,7867475,0.28
160,1445,2002,36036,0.31
130,1343,406976,9767424,0.24
160,1486,1999,101949,0.16
33,919,76851,3611997,0.36
133,153,31331,1221909,0.14
154,1016,632013,20224416,0.19
158,1615,1496,73304,0.24
50,176,301756,7543900,0.39
134,1972,358745,7892390,0.12
131,946,908703,43617744,0.45
7,473,596721,17901630,0.16
112,1572,526921,10538420,0.48
2,1552,273994,7397838,0.36
69,158,88018,3960810,0.17
159,110,1509,61869,0.42
36,985,770840,8479240,0.27
161,901,1501,19513,0.14
52,1598,750540,3752700,0.14
50,522,862318,20695632,0.28
23,935,891616,4458080,0.26
159,514,1506,48192,0.46
